312324:	[1, 2, 3, 4, 10]
199938:	[1, 5]
209410:	[1]
259072:	[2]
170510:	[2]
463626:	[3, 6, 7]
275722:	[]
207372:	[]
313365:	[]
198161:	[1]
486675:	[]
19733:	[5]
288029:	[]
218142:	[]
240926:	[2]
236828:	[3]
336421:	[2, 3, 9]
229921:	[]
230183:	[]
206118:	[1]
269612:	[4, 6]
222253:	[2, 9]
317994:	[2, 4, 5, 6]
266539:	[1]
234803:	[1]
198193:	[]
244784:	[1, 7]
264242:	[]
194101:	[]
303667:	[2]
192574:	[6]
371768:	[3]
90428:	[]
259389:	[6]
302394:	[2]
192573:	[]
490819:	[1, 2, 5]
315970:	[1]
216644:	[1, 2]
198731:	[]
255307:	[6]
297807:	[2, 3, 4, 6, 7, 8]
184655:	[9]
321354:	[2, 5]
302420:	[4, 6]
326228:	[3, 8, 9]
398676:	[]
333137:	[10]
320081:	[8]
342352:	[]
256603:	[1, 2, 3, 4, 5, 8, 9, 10]
245336:	[10]
250717:	[2]
227939:	[]
220258:	[]
252002:	[]
473446:	[]
302439:	[]
265312:	[10]
257381:	[2]
310114:	[]
258916:	[]
266595:	[7, 8]
292972:	[]
222824:	[1]
349550:	[7]
389230:	[]
303215:	[]
473448:	[1, 2, 5, 8]
217971:	[1]
193136:	[]
237169:	[2, 3, 4, 7]
314998:	[1, 4, 6]
294774:	[]
324215:	[]
334448:	[8]
310643:	[1, 2, 3, 4, 5, 6, 8, 9]
238970:	[]
267390:	[]
198012:	[9]
211587:	[]
314500:	[3, 7]
414086:	[6, 7]
211585:	[3, 4]
318086:	[]
238976:	[]
408450:	[]
193415:	[2, 3, 5]
482434:	[1]
428161:	[1, 2]
351118:	[2, 5, 6]
199309:	[8]
216467:	[1, 3]
327060:	[5]
222865:	[1, 5]
266640:	[]
222868:	[]
338578:	[]
447633:	[1]
198043:	[]
235930:	[1, 2, 3]
249240:	[]
275359:	[]
195737:	[1, 2, 3, 4, 9]
428701:	[2, 9]
172958:	[1]
194975:	[]
321690:	[2, 7, 8]
247197:	[1, 2]
273819:	[2]
259233:	[2]
483749:	[6]
295335:	[8]
196007:	[]
119206:	[1]
194981:	[1, 4]
196005:	[1, 5]
218027:	[3]
261803:	[10]
321708:	[]
207530:	[5]
199336:	[1]
320175:	[]
225199:	[]
244908:	[]
296107:	[1]
274613:	[3]
325813:	[]
368052:	[1]
200630:	[7]
287666:	[6]
263858:	[]
316595:	[]
195770:	[1, 2]
313276:	[1, 8]
263613:	[2]
277176:	[]
196541:	[]
206528:	[1]
472772:	[]
314560:	[5, 6]
199366:	[4]
183492:	[]
410048:	[]
472769:	[]
224196:	[1, 9]
196298:	[1, 2, 3]
259273:	[]
202958:	[1]
461000:	[1]
221139:	[]
197329:	[2]
265174:	[]
286934:	[1, 5]
112597:	[]
259286:	[]
112599:	[2]
197332:	[1, 3]
256980:	[8]
165082:	[]
218584:	[2]
314584:	[2]
205532:	[2]
271323:	[]
317925:	[4]
259041:	[1, 2]
317926:	[1, 2, 3, 5, 6, 8]
317920:	[1]
317921:	[1, 3]
183015:	[1, 6]
249061:	[]
197604:	[1]
324333:	[]
192756:	[6]
266483:	[1, 2, 6, 8]
192762:	[2, 3]
257017:	[1, 2, 3, 4, 5, 6, 7, 8, 10]
273151:	[2, 5, 6]
342782:	[1]
420858:	[]
247039:	[1, 2]
