231936:	[1, 7, 8, 10]
267264:	[1]
273421:	[1]
296457:	[1]
220179:	[1]
227346:	[1]
405015:	[]
66069:	[]
215579:	[]
209432:	[3]
198175:	[1, 8]
383001:	[]
173085:	[1]
167968:	[1]
330278:	[2]
309795:	[]
138795:	[3, 4]
153640:	[]
231977:	[2]
35888:	[]
96828:	[4]
269381:	[5]
329287:	[4]
150081:	[2]
144967:	[1]
198724:	[]
230987:	[]
251466:	[7, 8]
490062:	[7]
222793:	[5]
151113:	[]
230989:	[4]
292938:	[8]
305236:	[3]
258129:	[4]
171601:	[]
305232:	[1]
233562:	[1, 2]
201306:	[4]
114779:	[1, 6]
201304:	[1]
181343:	[1]
272985:	[1]
227932:	[7]
201308:	[1]
185955:	[2]
210018:	[]
228454:	[2, 10]
406112:	[2, 7, 9]
210026:	[1]
120938:	[3]
218223:	[]
303210:	[3, 4, 5, 6]
162420:	[1, 2]
311933:	[3, 4]
435321:	[]
172675:	[]
152199:	[2]
151172:	[6, 8, 9]
178309:	[3]
263299:	[]
396429:	[1]
272021:	[]
391828:	[1]
130199:	[3, 5]
312466:	[2]
264348:	[1, 2]
90264:	[]
174232:	[1, 4]
201880:	[1]
172703:	[]
273049:	[]
102055:	[]
433824:	[2, 6, 10]
255659:	[]
312495:	[]
149676:	[1]
173741:	[2]
217772:	[]
170678:	[]
65204:	[]
296113:	[1]
205493:	[]
176315:	[4]
250042:	[2]
197817:	[3]
257219:	[1, 5]
264901:	[]
484548:	[]
243911:	[1]
248519:	[1]
465614:	[1]
174281:	[1, 2, 4, 5, 6, 7, 8, 9]
228044:	[3]
158418:	[]
139482:	[]
203993:	[]
207583:	[1, 2]
257246:	[1, 2, 3, 5]
168669:	[4]
233699:	[7]
198881:	[2]
310496:	[1]
181476:	[1]
314595:	[1, 2]
300771:	[1, 2]
145129:	[1, 2, 4, 8]
181997:	[]
201458:	[1, 2]
227570:	[9]
246001:	[2]
217333:	[4, 5, 8, 9]
191231:	[1]
482554:	[1]
413944:	[1, 2, 3, 4, 5, 7, 8]
483591:	[]
61184:	[2, 4, 5]
191232:	[1]
229640:	[1, 3]
198927:	[1, 6]
177420:	[7]
404744:	[]
409352:	[7]
181523:	[7, 10]
225047:	[]
490770:	[]
259348:	[7, 10]
129817:	[]
166680:	[1]
151324:	[1]
319268:	[]
197410:	[1]
183587:	[3]
227105:	[8]
278818:	[1]
160043:	[1]
469803:	[]
159540:	[4]
63287:	[1]
178491:	[9]
135480:	[]
149816:	[]
257852:	[10]
232771:	[]
307524:	[]
230209:	[]
258881:	[2]
184647:	[1]
417603:	[]
308547:	[2]
286028:	[]
274765:	[4]
322893:	[1, 2, 3, 4, 6]
216914:	[1, 2, 3]
173393:	[5]
226640:	[]
263505:	[]
178517:	[2, 4]
256859:	[8]
466783:	[2]
260953:	[]
230239:	[1, 2, 3, 9]
308070:	[1, 4, 7]
488805:	[2]
218983:	[]
313187:	[1]
321891:	[]
117094:	[]
367980:	[]
216937:	[1]
172398:	[2]
216946:	[]
356209:	[5]
203126:	[]
409969:	[1]
482175:	[1, 2]
163707:	[1, 4, 9]
227706:	[1]
174457:	[7]
264056:	[1]
482171:	[]
169852:	[1]
280955:	[7]
300416:	[1, 2, 3]
173447:	[]
239494:	[1, 2, 3, 4]
185225:	[]
234376:	[1]
308623:	[2, 4, 6, 8]
392597:	[2]
331670:	[1, 2, 4, 7]
166801:	[8]
238487:	[1]
247703:	[1, 10]
157087:	[1, 2, 4, 5, 9, 10]
166819:	[1, 4, 5]
220069:	[]
415649:	[2, 3, 4, 5, 7, 8, 9, 10]
217007:	[2, 5]
304041:	[1]
206765:	[5]
241074:	[1]
272309:	[1]
108466:	[]
79794:	[1, 2, 3, 5, 8, 10]
418226:	[3, 4, 5]
102326:	[1, 5]
432063:	[6, 9]
216504:	[2, 3, 8]
217022:	[]
207804:	[1]
486328:	[1, 2, 5, 6]
244673:	[]
489924:	[2]
171462:	[1, 4]
226254:	[]
183245:	[1]
183250:	[]
202195:	[1, 4, 6]
133072:	[10]
474069:	[1]
171473:	[4, 5]
383448:	[]
477658:	[8]
207836:	[]
479192:	[1, 3]
146912:	[]
153575:	[1, 2, 3, 5, 6, 7]
226788:	[2]
250340:	[3]
98790:	[]
170474:	[]
160233:	[1]
342512:	[]
187390:	[1]
206335:	[]
118271:	[8]
334843:	[2]
68606:	[]
